Date,Strategy,Benchmark
2015-03-31,13329.867648852305,15621.885670401054
2015-04-01,13207.644445829794,15559.939093311765
2015-04-02,13108.602557125427,15614.860495295445
2015-04-03,13108.602557125427,15614.860495295445
2015-04-04,13108.602557125427,15614.860495295445
2015-04-05,13108.602557125427,15614.860495295445
2015-04-06,12982.673666226094,15718.056217998175
2015-04-07,12951.919795409993,15685.647096581864
2015-04-08,13090.502578787904,15727.724364113365
2015-04-09,12990.998434362504,15797.830399785182
2015-04-10,13062.828708241957,15880.024381807727
2015-04-11,13062.828708241957,15880.024381807727
2015-04-12,13062.828708241957,15880.024381807727
2015-04-13,13069.898451307254,15807.273535767827
2015-04-14,13033.035322288039,15833.03558049748
2015-04-15,12871.356697998981,15914.547146190942
2015-04-16,13005.077067084165,15902.158568977238
2015-04-17,13021.327318391977,15722.285357374687
2015-04-18,13021.327318391977,15722.285357374687
2015-04-19,13021.327318391977,15722.285357374687
2015-04-20,12949.815313307277,15867.482731702796
2015-04-21,13055.282513963713,15843.989252672576
2015-04-22,13030.919723779823,15924.59523745336
2015-04-23,13018.871395853654,15962.140910438227
2015-04-24,13004.289209273082,15998.100431058547
2015-04-25,13004.289209273082,15998.100431058547
2015-04-26,13004.289209273082,15998.100431058547
2015-04-27,12872.610190723539,15931.847267370758
2015-04-28,12763.317291481633,15975.966245456306
2015-04-29,12671.8470343965,15916.210770164027
2015-04-30,12486.526457136095,15754.996951480638
2015-05-01,12620.592178659506,15927.088814691655
2015-05-02,12620.592178659506,15927.088814691655
2015-05-03,12620.592178659506,15927.088814691655
2015-05-04,12797.79250123069,15973.926378825534
2015-05-05,12682.500807261618,15784.836878291646
2015-05-06,12822.734691930184,15714.503990727571
2015-05-07,12995.737833073219,15773.807596462133
2015-05-08,12991.004997126185,15986.089937488368
2015-05-09,12991.004997126185,15986.089937488368
2015-05-10,12991.004997126185,15986.089937488368
2015-05-11,13048.357490227825,15904.727765593081
2015-05-12,12990.947796194674,15857.814582557923
2015-05-13,12974.62175099913,15852.978665883462
2015-05-14,12989.869091168242,16023.862472727897
2015-05-15,13011.603755769876,16036.175431063151
2015-05-16,13011.603755769876,16036.175431063151
2015-05-17,13011.603755769876,16036.175431063151
2015-05-18,13115.58597294501,16085.05285989591
2015-05-19,13227.72315836769,16074.70414689385
2015-05-20,13229.455954567813,16059.746373953465
2015-05-21,13188.291076869427,16097.292043871623
2015-05-22,13238.369648335196,16061.332522097991
2015-05-23,13238.369648335196,16061.332522097991
2015-05-24,13238.369648335196,16061.332522097991
2015-05-25,13238.369648335196,16061.332522097991
2015-05-26,13301.617076056873,15896.190222332429
2015-05-27,13393.851938341806,16041.841308196992
2015-05-28,13426.752077201892,16021.520130863762
2015-05-29,13508.982027018577,15920.28865098187
2015-05-30,13508.982027018577,15920.28865098187
2015-05-31,13508.982027018577,15920.28865098187
2015-06-01,13510.24740921968,15953.075869343398
2015-06-02,13414.967634251605,15936.985657643265
2015-06-03,13429.266708369698,15970.75407597436
2015-06-04,13435.914095003312,15833.035582087625
2015-06-05,13498.300306746072,15810.29644712954
2015-06-06,13498.300306746072,15810.29644712954
2015-06-07,13498.300306746072,15810.29644712954
2015-06-08,13564.262012991438,15707.932527841695
2015-06-09,13483.630673998221,15714.503988695595
2015-06-10,13462.185211854456,15903.744724391661
2015-06-11,13536.19816549925,15931.395394828352
2015-06-12,13530.96637567248,15819.966434425163
2015-06-13,13530.96637567248,15819.966434425163
2015-06-14,13530.96637567248,15819.966434425163
2015-06-15,13596.39255007416,15746.83749105247
2015-06-16,13587.405652102176,15836.434738280062
2015-06-17,13684.897056377033,15867.78520011636
2015-06-18,13607.97941529872,16024.91929116319
2015-06-19,13594.484321737824,15939.931106062635
2015-06-20,13594.484321737824,15939.931106062635
2015-06-21,13594.484321737824,15939.931106062635
2015-06-22,13600.961973665671,16037.08285657929
2015-06-23,13563.043384932089,16047.280332720422
2015-06-24,13577.510201463498,15929.279914391669
2015-06-25,13661.802138925192,15881.913018613655
2015-06-26,13596.898170200851,15875.717807383206
2015-06-27,13596.898170200851,15875.717807383206
2015-06-28,13596.898170200851,15875.717807383206
2015-06-29,13623.339702074763,15544.451983849374
2015-06-30,13810.876056730362,15585.776752449472
2015-07-01,13887.558096125274,15693.880326552688
2015-07-02,13834.690963060088,15689.046254376331
2015-07-03,13834.690963060088,15689.046254376331
2015-07-04,13834.690963060088,15689.046254376331
2015-07-05,13834.690963060088,15689.046254376331
2015-07-06,13984.315008292157,15628.458973317978
2015-07-07,13961.536954168203,15723.495246311788
2015-07-08,13962.919153537494,15461.65581084877
2015-07-09,14036.109145953964,15496.633208824378
2015-07-10,14123.519181453605,15687.838185221959
2015-07-11,14123.519181453605,15687.838185221959
2015-07-12,14123.519181453605,15687.838185221959
2015-07-13,14073.862134081874,15861.440571283696
2015-07-14,14180.67589232908,15932.074094461248
2015-07-15,14233.488049272592,15920.364242413574
2015-07-16,14405.464436535973,16047.960880036251
2015-07-17,14516.931080733559,16065.712861546415
2015-07-18,14516.931080733559,16065.712861546415
2015-07-19,14516.931080733559,16065.712861546415
2015-07-20,14547.61239178516,16078.103283450935
2015-07-21,14480.255109423964,16009.583402723558
2015-07-22,14586.591995547984,15971.357161937998
2015-07-23,14512.50205570487,15880.703093444008
2015-07-24,14462.20467175689,15710.726719364264
2015-07-25,14462.20467175689,15710.726719364264
2015-07-26,14462.20467175689,15710.726719364264
2015-07-27,14511.496342891798,15619.997032185815
2015-07-28,14330.331960436572,15813.468720906012
2015-07-29,14247.14008916455,15929.204259875929
2015-07-30,14333.346128936313,15929.656128503435
2015-07-31,14485.999971065194,15893.471596014417
2015-08-01,14485.999971065194,15893.471596014417
2015-08-02,14485.999971065194,15893.471596014417
2015-08-03,14625.872079634395,15849.655097143885
2015-08-04,14703.246033685795,15813.998053578462
2015-08-05,14823.930047241389,15863.253576477784
2015-08-06,14655.59505804121,15740.266006275506
2015-08-07,14553.197796474129,15695.014592562746
2015-08-08,14553.197796474129,15695.014592562746
2015-08-09,14553.197796474129,15695.014592562746
2015-08-10,14305.730558818703,15896.03894483671
2015-08-11,14302.936523133723,15744.118866528102
2015-08-12,14296.097208252088,15759.076640182284
2015-08-13,14389.880599900172,15738.980476541805
2015-08-14,14344.874062314178,15800.550803136637
2015-08-15,14344.874062314178,15800.550803136637
2015-08-16,14344.874062314178,15800.550803136637
2015-08-17,14501.390315804223,15882.894174385377
2015-08-18,14471.242743909947,15841.193157655416
2015-08-19,14485.828032561849,15710.426066110444
2015-08-20,14395.262007077145,15378.933389632653
2015-08-21,14477.552882911621,14889.099474365332
2015-08-22,14477.552882911621,14889.099474365332
2015-08-23,14477.552882911621,14889.099474365332
2015-08-24,14497.177648603709,14302.265063747134
2015-08-25,14565.943729837869,14108.869907066473
2015-08-26,14681.685602794865,14659.593559777117
2015-08-27,14594.655645653587,15015.788669875006
2015-08-28,14498.140067956287,15024.929326412435
2015-08-29,14498.140067956287,15024.929326412435
2015-08-30,14498.140067956287,15024.929326412435
2015-08-31,14250.156212979653,14898.84507773186
2015-09-01,14343.337532205913,14458.190175929114
2015-09-02,14405.389493002287,14722.67348736263
2015-09-03,14324.572282049889,14739.822361743334
2015-09-04,14432.210579385059,14513.866839826043
2015-09-05,14432.210579385059,14513.866839826043
2015-09-06,14432.210579385059,14513.866839826043
2015-09-07,14432.210579385059,14513.866839826043
2015-09-08,14408.038473256685,14877.91894551821
2015-09-09,14465.663200041572,14671.152159419817
2015-09-10,14569.784429440433,14748.585840315385
2015-09-11,14552.10968429551,14814.763382119787
2015-09-12,14552.10968429551,14814.763382119787
