Date,Strategy,SP500,Nasdaq
2013-03-01,85315.8550092988,12740.828871100643,17609.371523494123
2013-03-04,85896.4935975412,12799.573308576722,17677.64837379478
2013-03-05,86061.88573717381,12922.01423890336,17911.532532277713
2013-03-06,86191.14462967549,12936.028328691778,17901.756218325725
2013-03-07,86056.35649771482,12959.526514893272,17955.75515233185
2013-03-08,85975.56774366174,13017.599956620374,18023.976392453278
2013-03-11,86283.48110018998,13059.895255061962,18071.197823366198
2013-03-12,86568.40690697054,13028.509016853306,18012.587422191915
2013-03-13,86394.32851343979,13045.629160028835,18028.142989298536
2013-03-14,86684.1604781432,13118.723688691574,18104.86289811532
2013-03-15,86389.69346853066,13097.491527205408,18050.08679379923
2013-03-18,86432.84172441774,13025.319999536357,17986.310195863738
2013-03-19,86874.54412550842,12993.765760628585,17939.144375130047
2013-03-20,86781.86035214974,13080.791406757833,18078.530056052456
2013-03-21,86850.59495516245,12972.450618428451,17903.033869137813
2013-03-22,87162.57855194515,13065.518306185428,18027.475683814188
2013-03-25,86499.58994547713,13021.878960190576,17973.587970166518
2013-03-26,85766.1346590343,13123.25573812223,18069.030431908308
2013-03-27,85429.24694990186,13115.534671374624,18091.474722466595
2013-03-28,85463.39924885312,13168.740053880772,18152.58480953037
2013-04-01,85585.77198858857,13109.828639537198,17995.086904344316
2013-04-02,85290.08348055041,13177.636135258834,18082.25313810766
2013-04-03,86163.26700045844,13038.66308518374,17880.812019296445
2013-04-04,86343.23025749232,13091.449485577681,17916.255214248868
2013-04-05,86240.80831955632,13035.223078061641,17798.92455263015
2013-04-08,86681.95616399421,13117.380673361999,17901.08891284138
2013-04-09,86201.00193882964,13163.8730268835,17987.810276281823
2013-04-10,86399.70903435159,13324.32921985785,18317.748597367136
2013-04-11,86501.29484669377,13371.660578219511,18333.914504246037
2013-04-12,85905.57569918843,13333.72829628577,18304.970761490684
2013-04-15,87090.67657016708,13027.502011314034,17869.08939351518
2013-04-16,86678.92866121558,13213.889392072695,18136.528761921625
2013-04-17,87260.16718725149,13024.564999241793,17803.423449462472
2013-04-18,87812.19141172228,12937.287339475772,17590.594710367273
2013-04-19,87289.55420877074,13051.755197810095,17811.14630338071
2013-04-22,86566.89878108409,13112.597650910318,17963.865910860924
2013-04-23,85717.28202052429,13249.220671724495,18162.64051880042
2013-04-24,85611.68960490916,13249.304676270087,18164.417289026336
2013-04-25,85628.69201479058,13302.762072413007,18277.415884350416
2013-04-26,85733.97597691603,13278.256880672234,18217.805883260182
2013-04-29,85158.98074787734,13373.674589298065,18372.025576713935
2013-04-30,85164.7812550678,13406.906829494097,18492.968100029397
2013-05-01,85610.29360205031,13282.116902130225,18328.19221680347
2013-05-02,85010.65569959326,13407.074838585278,18558.68965426133
2013-05-03,83957.12289651479,13548.313904983637,18769.85148240076
2013-05-06,83550.25689359609,13574.161088222363,18849.517302962784
2013-05-07,83723.12440813733,13645.157609653013,18869.849806686943
2013-05-08,83254.86190277488,13701.636022413766,18962.293463125414
2013-05-09,83058.47618837237,13651.116670566775,18939.515522602684
2013-05-10,83844.55621088369,13710.112089455939,19091.791615292837
2013-05-13,84325.95654919471,13710.700112883012,19104.06897066716
2013-05-14,84991.89850504088,13849.756135280011,19236.400464243983
2013-05-15,84842.45985118276,13920.585671451106,19286.455236566304
2013-05-16,84018.8068378455,13850.84714536488,19251.01068052558
2013-05-17,85232.61520590578,13993.512207806783,19438.396323759174
2013-05-20,86218.13861644677,13983.610144721066,19424.285232446866
2013-05-21,85951.7590499586,14007.695322125946,19455.896841606773
2013-05-22,84458.4297678603,13891.800452308516,19240.233411124795
2013-05-23,85155.64451365122,13851.18315515518,19218.67751123493
2013-05-24,85071.06520056403,13843.546092953165,19217.121820637625
2013-05-28,86309.6988319913,13931.327763208605,19382.396828832836
2013-05-29,85980.41468224363,13833.140010985964,19263.677301599033
2013-05-30,86551.93700808278,13883.912400301351,19395.78636001441
2013-05-31,85755.00885606594,13685.271911756492,19199.1777824445
2013-06-03,85555.30467455974,13766.507529894787,19251.73359618915
2013-06-04,85101.18389220652,13690.642957635244,19140.012651677163
2013-06-05,84342.76402837156,13501.989552161256,18896.794338499458
2013-06-06,85302.1385761283,13616.62541958676,19022.181509556314
2013-06-07,85949.47926643358,13791.347707594236,19273.121315563953
2013-06-10,87355.83680121598,13786.564685142557,19298.398941976175
2013-06-11,86946.25953183962,13646.584629528186,19093.846430859423
2013-06-12,86110.04794015853,13532.368784830634,18890.960836253897
2013-06-13,87056.92739994063,13732.435261026978,19140.568736803056
2013-06-14,87240.52227042547,13651.619657224577,19019.45938850537
2013-06-17,87597.26945445097,13754.926441689195,19178.17797323599
2013-06-18,87279.15189561885,13862.093247611805,19345.119892386967
2013-06-19,87920.23302947432,13670.082815729682,19128.56807123657
2013-06-20,87848.50286555804,13328.189241315846,18692.130618135172
2013-06-21,87594.7038258185,13363.772534604417,18651.07634498772
2013-06-24,86990.18417622826,13201.469307419009,18448.357575364415
2013-06-25,87971.01212987109,13326.84724981789,18599.07662192442
2013-06-26,89689.55215185303,13454.658202191655,18756.463306752023
2013-06-27,90385.62115959836,13538.074808276,18898.906119778123
2013-06-28,90346.75441191651,13480.002390380523,18906.627618163515
2013-07-01,91688.6025451015,13552.84492219061,19080.180209870017
2013-07-02,91557.61665699979,13545.459865233304,19074.124266907547
2013-07-05,93056.45906638422,13683.64702299322,19271.917972201125
2013-07-08,93450.45964934734,13755.507329136532,19302.1060271145
2013-07-09,93312.03321328349,13854.955114799952,19409.72636990575
2013-07-10,93566.61296257627,13857.471071493028,19501.118128562222
2013-07-11,94365.83904338711,14045.298702392665,19819.82633203931
2013-07-12,94822.75785615711,14088.649279607123,19940.463614093795
2013-07-15,95850.34560034421,14108.019477149686,19981.506334649534
2013-07-16,95752.56134406269,14055.696207932913,19931.71172880686
2013-07-17,95758.97356032224,14094.687369395744,19995.40901514319
2013-07-18,95769.06232405808,14165.625434515463,20002.498960685083
2013-07-19,95611.55608307078,14188.432806786062,19871.393760755294
2013-07-22,95533.21207011549,14217.278260460133,19942.179646682165
2013-07-23,95154.75654283745,14190.948763479139,19825.19889904148
2013-07-24,95335.35040011498,14136.863907835124,19827.027166248376
2013-07-25,95394.99198257017,14173.004410848298,19968.766605976438
2013-07-26,95349.93298631221,14184.74382592139,20012.911434226804
2013-07-29,95718.4385393395,14131.749090443882,19935.25602860213
2013-07-30,95865.66960161712,14137.031778592887,20031.24550169752
2013-07-31,96009.91283248813,14135.10335278167,20086.081365569993
2013-08-01,96176.07394912804,14312.365607383297,20359.535881819487
2013-08-02,97175.10551164825,14335.844445914634,20436.250112957936
2013-08-05,98048.88995162344,14314.629766324884,20454.860039528532
2013-08-06,98401.76257011613,14232.706656397906,20304.31327017995
2013-08-07,98240.41499311668,14178.538896748796,20239.17581589403
2013-08-08,96251.18405216113,14233.628897421497,20322.869103907207
2013-08-09,96426.58594088312,14182.815408495326,20272.963609397364
2013-08-12,95656.9945715698,14166.463748545335,20327.46546685587
2013-08-13,95508.83886897903,14205.790643138535,20407.7239922507
2013-08-14,95106.78695623504,14132.25269433201,20323.699400804046
2013-08-15,94097.84915562416,13930.421489417695,19973.918752673406
2013-08-16,94988.59725087346,13884.387084752401,19955.418357740837
2013-08-19,94767.71862675274,13802.465006199207,19879.591219323058
2013-08-20,95348.2948298837,13855.206920936596,20015.294133691757
2013-08-21,96673.09619395243,13775.129324430589,19938.857118682336
2013-08-22,97170.50297883854,13893.862349269057,20154.430459188563
2013-08-23,97287.85447839742,13948.701575178904,20260.112997595992
2013-08-26,97451.82999468177,13892.353591967089,20258.894601441847
2013-08-27,96040.0740724833,13671.823664156098,19821.044728193454
2013-08-28,96752.12040915634,13709.38898909236,19903.186965128763
2013-08-29,97506.60399729125,13736.306025340364,20052.45989952851
2013-08-30,97169.65946481752,13692.702619000633,19883.911717632942
2013-09-03,97877.61148427452,13749.722068473187,20009.866122356005
2013-09-04,98672.7068906938,13861.327914730313,20211.647671035742
2013-09-05,99307.52676038849,13878.09822020092,20265.596447726435
2013-09-06,99200.6968668919,13878.853621840537,20272.409182678195
2013-09-09,99347.87434656618,14017.543352114793,20528.139508048625
2013-09-10,100796.96451467859,14120.513270873762,20654.648345029753
2013-09-11,100441.75135291333,14163.613081710519,20632.437322840055
2013-09-12,99648.40450841271,14115.734186612885,20582.365500868353
2013-09-13,100087.01991965319,14154.053881814978,20616.761819473082
2013-09-16,100437.39472229546,14234.635082209117,20592.779325900316
2013-09-17,101399.95543595422,14294.673060889088,20747.036722506025
2013-09-18,102227.0837810043,14468.748915525535,20957.182057215396
2013-09-19,102733.99312776784,14442.08367702902,20988.975256049976
2013-09-20,102404.74970694046,14337.856798719573,20907.83098942472
2013-09-23,102025.5245224018,14270.188045955281,20855.544152479066
2013-09-24,102353.60571825686,14233.126324907149,20871.93906407571
2013-09-25,102837.45290432766,14194.135163444316,20832.336511469563
2013-09-26,103576.02824050262,14243.607765826278,20978.174683250956
2013-09-27,104383.11175862697,14185.582139951252,20945.828403648564
2013-09-30,104448.971012753,14100.05399292363,20889.82958241663
2013-10-01,105921.62362832665,14212.83388634099,21147.388174993957
2013-10-02,105794.92359921639,14203.35862182433,21130.99326893621
2013-10-03,105603.44305476677,14075.820775741307,20905.671418784354
2013-10-04,106250.72903333031,14175.100699032118,21090.725395404836
2013-10-07,105464.99334554335,14054.522160772678,20883.736261233436
2013-10-08,103537.15060017198,13881.200684787216,20465.273864560495
2013-10-09,102735.07483563085,13889.167192001903,20370.83544254298
2013-10-10,103819.10895702195,14192.374608390857,20830.39735559549
2013-10-11,104090.01127324539,14281.591727898,21002.768399366712
2013-10-14,104090.01127324539,14339.785224530786,21132.433431346908
2013-10-15,103864.02774113686,14238.492948435029,21014.621040858023
2013-10-16,105761.54253978406,14435.376166956921,21266.19719538043
2013-10-17,106198.37908222598,14532.727664436516,21397.57960590036
2013-10-18,106611.0768245851,14627.898946738553,21680.783983285735
2013-10-21,106333.29164308512,14629.240856271395,21712.74351512107
2013-10-22,105967.57692873038,14713.176319003318,21765.473895657615
2013-10-23,105531.43837871446,14643.663075806688,21640.848770216973
2013-10-24,106380.17473190205,14691.374100146559,21762.094577372856
2013-10-25,105597.09253210944,14755.940396709704,21841.855466333458
2013-10-28,104416.82624537533,14775.56136062997,21823.96359650229
2013-10-29,105236.31499853598,14858.07097845017,21891.594633381443
2013-10-30,104227.34876602991,14785.624164413635,21771.29000625068
2013-10-31,104423.44066041018,14728.85651269257,21710.85980358059
2013-11-01,105405.96448807778,14771.620590398958,21723.765859715546
2013-11-04,106845.97298627395,14824.363528124979,21804.35704557299
2013-11-05,107029.59927910617,14782.772474590194,21822.469335709357
2013-11-06,105164.69828649018,14845.828982477584,21778.655816431357
2013-11-07,103518.88764775716,14650.119802730773,21365.34421496514
2013-11-08,104885.4495755556,14846.835158880058,21708.20123947685
2013-11-11,104885.4495755556,14857.568405935828,21711.30334717148
2013-11-12,104809.37172001645,14822.350143946247,21712.02275540115
2013-11-13,105813.83736268764,14942.342174312465,21964.92954069623
2013-11-14,105944.87844982385,15014.622148965027,22004.58753763596
2013-11-15,105883.80420766935,15078.014398367939,22077.867006156066
2013-11-18,105425.51445721605,15022.252923049346,21873.482337706173
2013-11-19,105147.48355341119,14991.562978942939,21776.440801457396
2013-11-20,105747.2315968402,14937.05948616346,21719.500805739248
2013-11-21,106466.56923649399,15058.476338452765,21984.75786342098
2013-11-22,106384.62402004228,15133.188334419518,22109.327544528038
2013-11-25,105880.69678622767,15114.069934628442,22125.502035819485
2013-11-26,107116.1531352566,15116.334093570029,22253.89323285084
2013-11-27,107346.28044524929,15153.899410121141,22403.443383379614
2013-12-02,107529.7594816142,15112.695643357665,22322.71219013689
2013-12-03,107437.89715420584,15064.443103632393,22278.234856949963
2013-12-04,107482.46596056127,15044.806711611827,22282.649718669814
2013-12-05,107362.55423056692,14979.51867567464,22255.996193115614
2013-12-06,105863.71755046153,15147.856572540551,22417.957053180657
2013-12-09,105699.55175266022,15175.38174290969,22452.335572768152
2013-12-10,106134.22839246009,15127.129203184417,22406.754862143407
2013-12-11,104618.17025035404,14955.937382583279,22093.981447445196
2013-12-12,105631.24334374665,14899.54509256064,22064.12690723866
2013-12-13,105896.03246223718,14898.034125119302,22078.3643946881
2013-12-16,106692.13927253781,14992.19029611126,22235.85516097755
2013-12-17,106873.40910924274,14945.699695776118,22203.628158691714
2013-12-18,107335.01477769151,15194.515167239653,22459.564791640805
2013-12-19,107520.0652908831,15185.703431094706,22393.78646485368
2013-12-20,108586.73994291536,15258.879204803956,22650.938291320635
2013-12-23,109427.8952127919,15340.027758239634,22894.62190046793
2013-12-26,109797.8821408193,15412.824313445355,22959.41597034231
2013-12-27,109251.68881918312,15407.63659055457,22901.067680279793
2013-12-30,109442.50031249161,15404.8747127419,22887.90171598334
2013-12-31,108829.76965047113,15465.873013045479,23011.259296675802
2014-01-02,109701.2369294298,15328.815795112334,22826.578037404473
2014-01-03,109413.59703930201,15323.711837752067,22765.092944636333
2014-01-06,109749.46937016773,15285.222241682834,22664.65339648299
2014-01-07,110955.86569319814,15378.183363207461,22882.281838865107
2014-01-08,111489.6625143708,15374.919971599695,22950.764203956427
2014-01-09,110894.32568312545,15380.275200449469,22898.86438238121
2014-01-10,110517.59715718587,15415.752676400445,23000.68133124909
2014-01-13,109573.4095091238,15221.88083264774,22662.557711716978
2014-01-14,111505.66407922938,15386.550712175494,23046.68687103334
2014-01-15,110841.58015122602,15466.04052737182,23222.22136113961
2014-01-16,111661.91727474013,15445.205912114905,23243.213183618736
2014-01-17,110974.22696714573,15385.044137524406,23126.906687325325
2014-01-21,111374.61959409487,15427.718437261577,23282.164955838085
2014-01-22,111788.4441007873,15436.58729165736,23377.15141841336
2014-01-23,111135.09378438172,15299.362567765225,23244.259684418812
2014-01-24,108705.48744538214,14979.981510308578,22744.485823128365
2014-01-27,108343.18881816718,14906.934721164618,22498.97992107051
2014-01-28,109297.61696297613,14998.473025201325,22578.04160143584
2014-01-29,108330.10453454386,14845.350129086199,22321.680646112683
2014-01-30,109678.88831500648,15012.613351283715,22716.71732092291
2014-01-31,109018.020787562,14915.55231243824,22610.657890141752
2014-02-03,106854.99884241875,14575.001619439347,22021.573938635993
2014-02-04,107639.37310052186,14686.370498693548,22211.985376833563
2014-02-05,106953.82883474506,14656.583271877678,22101.959207639993
2014-02-06,107397.92308132953,14838.908132217757,22353.031180249796
2014-02-07,108911.77036026095,15036.293609883818,22731.75836636935
2014-02-10,109792.11641178251,15059.88908213683,22854.677439524366
2014-02-11,110242.75387287691,15226.483284580254,23090.927620456456
2014-02-12,110314.63455458243,15222.383367259406,23147.347017293127
2014-02-13,111269.62736561045,15310.825794014685,23364.313665355905
2014-02-14,110942.7706810551,15384.458874933483,23382.771301041157
2014-02-18,111728.38416521216,15402.281370072142,23541.225550667124
2014-02-19,111316.33341672608,15301.789425292562,23349.32910964161
2014-02-20,111800.79921525417,15394.0815270631,23512.410553171183
2014-02-21,112046.18201854489,15364.544542552818,23489.602822440076
2014-02-24,113412.91682512178,15459.597501319453,23652.46635653865
2014-02-25,114522.13855778318,15438.762886062535,23622.822767673635
2014-02-26,114490.73249367082,15439.097906347868,23647.45177849802
2014-02-27,115199.8540301387,15515.491844262766,23795.494859747014
2014-02-28,113821.62163250487,15558.666628611112,23735.935966019704
2014-03-03,114078.41136066512,15443.866843422802,23566.128966164233
2014-03-04,115945.02396322951,15679.65918917885,23977.531624906875
2014-03-05,115840.44263720793,15678.82266346577,24010.58910982568
2014-03-06,115600.02451684567,15705.765276122369,23978.411328657214
2014-03-07,113904.41240416565,15714.216382253571,23890.75572699502
2014-03-10,114235.35306012278,15706.936830488128,23881.00365875236
2014-03-11,113126.98698089825,15627.111995006471,23730.81108617107
2014-03-12,113470.7722972904,15631.880932081405,23819.736475415222
2014-03-13,112051.82989198966,15448.970809150413,23473.12788654697
2014-03-14,112347.84536048891,15405.377247353565,23390.37387244195
2014-03-17,113075.56342175622,15553.478914087671,23580.731504073236
2014-03-18,114736.05221543048,15665.769105402045,23874.7219873148
2014-03-19,114570.17948701733,15569.712106595993,23733.07087931138
2014-03-20,114801.30676434333,15663.761025323209,23797.477554029585
2014-03-21,112828.29472790756,15617.82436316219,23563.320369188066
2014-03-24,111418.55657727306,15541.848173511871,23285.638035809043
2014-03-25,111220.69660492433,15610.293539907236,23329.05288804811
2014-03-26,110015.71982599412,15501.016497895042,22994.676747650105
2014-03-27,110160.76368351675,15471.563262180583,22871.537076388642
2014-03-28,110813.64264365486,15543.354748162963,22896.494298452046
2014-03-31,111992.56970915887,15666.521882319306,23134.676055775843
2014-04-01,114301.39708081026,15776.803993554842,23515.111537014807
2014-04-02,113991.91219351301,15821.820364472263,23561.50177777022
2014-04-03,112049.98707045415,15803.997877700953,23348.172312543113
2014-04-04,109459.0433091491,15605.85860230106,22742.06192712334
2014-04-07,106900.10178064037,15438.093866308449,22477.71234958093
2014-04-08,107853.44994990907,15495.995268514027,22660.852105273007
2014-04-09,110074.15168724365,15665.183842811131,23051.534652024227
2014-04-10,106588.12797920911,15338.019678160797,22336.447286886392
2014-04-11,104084.72778249026,15192.511354096447,22036.83558218888
2014-04-14,103672.22383703805,15317.352568862872,22163.335342937844
2014-04-15,104198.37296752744,15420.856633760708,22226.530075163108
2014-04-16,106143.86352583895,15582.598150333377,22513.414323101613
2014-04-17,106290.4199900222,15603.85052222222,22564.59854930079
2014-04-21,107262.40406740207,15662.75698528379,22708.011753480318
2014-04-22,109253.18525568824,15726.851162868797,22927.89998349316
2014-04-23,108698.40026541987,15692.04270667191,22737.875940451773
2014-04-24,108858.72938820954,15718.98531932851,22855.613638516425
2014-04-25,108109.19088761843,15591.718267851322,22454.62753101122
2014-04-28,107222.94273523756,15642.173633149037,22448.235552256065
2014-04-29,107901.23291407859,15716.642218964344,22608.785492157625
2014-04-30,107891.66369215319,15763.66667832795,22669.501182983444
2014-05-01,108280.182919192,15761.408355943522,22740.520429053664
2014-05-02,108526.30856461127,15740.154963238107,22720.959802836194
2014-05-05,108629.87738924641,15769.608190585215,22798.976332248756
2014-05-06,108050.19585676698,15627.864771923732,22483.277081304732
2014-05-07,107093.9309888618,15715.638178924923,22411.15618353043
2014-05-08,105927.043839778,15694.050786750748,22322.06669142156
2014-05-09,106564.3368965843,15717.897522125922,22434.297497341853
2014-05-12,108009.54537374436,15869.932621038459,22830.93082112576
2014-05-13,107916.6033144039,15876.625889396411,22755.50498476796
2014-05-14,107541.72024925672,15801.989789254765,22592.7517524774
2014-05-15,106698.49969020208,15654.054616030424,22420.08234907946
2014-05-16,105931.16417351707,15712.709807602485,22537.43669051067
2014-05-19,106696.62206997309,15773.12182449857,22731.483967206197
2014-05-20,105888.54372833135,15670.621799640152,22572.147319644875
2014-05-21,106896.81699323465,15797.806114770747,22763.053755112043
2014-05-22,107970.6234082102,15835.124164841569,22888.67112343523
2014-05-23,109268.71768692041,15902.397976871174,23062.05881639423
2014-05-27,110283.89289471891,15997.618449964151,23344.47863446571
2014-05-28,111138.20497111224,15979.795954825493,23278.42015986983
2014-05-29,112793.65827387721,16065.561281747841,23404.424917839628
2014-05-30,111953.8585658423,16095.181002604719,23375.05842232279
2014-06-02,111521.30853937424,16106.89550034369,23345.19692402677
2014-06-03,111260.38380904104,16100.787494576656,23328.006387248035
2014-06-04,110814.83292571486,16131.244770330535,23424.754951509003
